2159,512000,514048
2826,2248704,2249216
1322,3207168,3211264
754,589824,630784
752,16384,20480
752,12288,16384
344,1708032,1709568
1331,1826816,1827840
2021,1056768,1073152
2021,1249280,1257472
2628,3698688,3702784
88,434176,435200
1941,704512,708608
1493,1191936,1197568
244,57344,57856
244,675840,676864
3226,1848832,1857024
3226,1843200,1848832
449,2473984,2490368
1415,3973120,3989504
449,2473984,2490368
244,66048,73728
752,20480,24576
244,65536,66048
1471,2506752,2514944
244,62976,65536
244,58880,62976
449,2473984,2478080
752,16384,20480
754,630784,634880

