34545,249856,251904
45224,151552,152064
21164,61440,65536
12066,65536,106496
12032,16384,20480
12032,12288,16384
5510,135168,136704
21302,253952,254976
32340,8192,24576
32340,200704,208896
42062,28672,32768
1409,172032,173056
31058,180224,184320
23892,143360,148992
3904,57344,57856
3906,151552,152576
51623,13824,22016
51623,8192,13824
7193,114688,131072
22655,40960,57344
7193,114688,131072
3904,66048,73728
12032,20480,24576
3904,65536,66048
23545,147456,155648
3904,62976,65536
3904,58880,62976
7193,114688,118784
12032,16384,20480
12066,106496,110592
12313,143360,147456
3904,73728,77824
12032,20480,24576
3904,73728,77824
3904,73728,77824
12032,20480,24576
12313,143360,147456
12032,16384,20480
3904,57856,58880
3904,57344,57856
765,86016,102400
4105,167936,168960
